record_id,triage_time,date,hour,weekday,month,shift,department,pharmacy_unit,priority,occurrence_type,prescriptions_count,pharmacists_on_shift,triage_time_minutes,triage_sla_minutes,delay_flag,on_time_flag,analysis_completed_flag,delivery_time_minutes,delivery_delay_flag
27,2025-01-01 16:24:00,2025-01-01,16,Wednesday,2025-01,Afternoon,Oncologia,Central,Urgent,High Demand,8,2,41,60,0,1,1,42,0
28,2025-01-01 15:51:00,2025-01-01,15,Wednesday,2025-01,Afternoon,Pronto Socorro,Central,Routine,High Demand,35,2,81,60,1,0,1,102,1
29,2025-01-01 17:16:00,2025-01-01,17,Wednesday,2025-01,Afternoon,Ortopedia,Central,Urgent,Normal Flow,23,3,53,60,0,1,1,83,1
30,2025-01-01 15:35:00,2025-01-01,15,Wednesday,2025-01,Afternoon,Clinica Medica B,Central,Stat,Staff Shortage,15,1,70,60,1,0,1,97,1
31,2025-01-01 16:27:00,2025-01-01,16,Wednesday,2025-01,Afternoon,Pronto Socorro,Satelite B,Routine,Normal Flow,36,4,55,60,0,1,1,82,1
32,2025-01-01 08:46:00,2025-01-01,8,Wednesday,2025-01,Morning,UTI Adulto,Central,Urgent,Normal Flow,9,2,35,60,0,1,1,56,0
33,2025-01-01 12:49:00,2025-01-01,12,Wednesday,2025-01,Afternoon,Clinica Medica A,Urgencia,Routine,Normal Flow,18,3,42,60,0,1,1,67,0
34,2025-01-01 15:01:00,2025-01-01,15,Wednesday,2025-01,Afternoon,Maternidade,Central,Urgent,High Demand,12,1,59,60,0,1,1,76,1
35,2025-01-01 08:05:00,2025-01-01,8,Wednesday,2025-01,Morning,Maternidade,Central,Stat,Normal Flow,9,2,23,60,0,1,1,26,0
36,2025-01-02 16:33:00,2025-01-02,16,Thursday,2025-01,Afternoon,UTI Adulto,Satelite B,Routine,High Demand,17,3,38,60,0,1,1,42,0
37,2025-01-02 09:59:00,2025-01-02,9,Thursday,2025-01,Morning,Clinica Medica B,Central,Routine,System Delay,26,2,61,60,1,0,1,74,0
38,2025-01-02 19:03:00,2025-01-02,19,Thursday,2025-01,Night,Maternidade,Central,Routine,Normal Flow,7,2,14,60,0,1,1,22,0
39,2025-01-02 09:30:00,2025-01-02,9,Thursday,2025-01,Morning,UTI Adulto,Central,Urgent,Normal Flow,17,2,52,60,0,1,1,52,0
40,2025-01-02 11:21:00,2025-01-02,11,Thursday,2025-01,Morning,Ortopedia,Central,Urgent,High Demand,19,3,52,60,0,1,1,52,0
41,2025-01-02 18:47:00,2025-01-02,18,Thursday,2025-01,Night,Clinica Medica A,Satelite A,Routine,High Demand,29,3,57,60,0,1,1,81,1
42,2025-01-02 08:58:00,2025-01-02,8,Thursday,2025-01,Morning,Clinica Medica B,Central,Routine,Normal Flow,12,2,26,60,0,1,1,25,0
43,2025-01-02 09:16:00,2025-01-02,9,Thursday,2025-01,Morning,Pronto Socorro,Urgencia,Routine,Stock Check,26,2,68,60,1,0,1,82,1
44,2025-01-02 12:51:00,2025-01-02,12,Thursday,2025-01,Afternoon,Clinica Medica A,Satelite A,Routine,Normal Flow,7,1,26,60,0,1,1,13,0
45,2025-01-02 17:02:00,2025-01-02,17,Thursday,2025-01,Afternoon,Clinica Medica B,Satelite A,Routine,Stock Check,15,2,43,60,0,1,1,61,0
46,2025-01-02 15:50:00,2025-01-02,15,Thursday,2025-01,Afternoon,UTI Adulto,Central,Urgent,Staff Shortage,22,2,57,60,0,1,1,69,0
47,2025-01-02 14:32:00,2025-01-02,14,Thursday,2025-01,Afternoon,Clinica Medica A,Central,Routine,High Demand,16,3,49,60,0,1,1,67,0
48,2025-01-02 12:48:00,2025-01-02,12,Thursday,2025-01,Afternoon,Oncologia,Urgencia,Urgent,Normal Flow,8,3,34,60,0,1,1,53,0
49,2025-01-02 10:29:00,2025-01-02,10,Thursday,2025-01,Morning,Clinica Medica A,Urgencia,Routine,Normal Flow,20,2,51,60,0,1,1,72,0
50,2025-01-02 11:22:00,2025-01-02,11,Thursday,2025-01,Morning,Clinica Medica B,Central,Routine,High Demand,23,4,46,60,0,1,1,61,0
51,2025-01-02 09:14:00,2025-01-02,9,Thursday,2025-01,Morning,Cirurgica II A,Central,Routine,Stock Check,12,2,39,60,0,1,1,59,0
52,2025-01-02 16:53:00,2025-01-02,16,Thursday,2025-01,Afternoon,Pediatria,Urgencia,Routine,Normal Flow,12,3,49,60,0,1,1,48,0
53,2025-01-02 12:10:00,2025-01-02,12,Thursday,2025-01,Afternoon,Pediatria,Urgencia,Stat,Stock Check,12,2,37,60,0,1,1,58,0
54,2025-01-02 17:36:00,2025-01-02,17,Thursday,2025-01,Afternoon,Clinica Medica B,Central,Routine,High Demand,18,2,66,60,1,0,1,72,0
55,2025-01-02 10:14:00,2025-01-02,10,Thursday,2025-01,Morning,Clinica Medica A,Urgencia,Routine,Normal Flow,14,4,35,60,0,1,1,32,0
56,2025-01-02 16:16:00,2025-01-02,16,Thursday,2025-01,Afternoon,Cirurgica II A,Central,Urgent,High Demand,12,1,53,60,0,1,1,79,1
57,2025-01-02 09:53:00,2025-01-02,9,Thursday,2025-01,Morning,Ortopedia,Satelite B,Stat,High Demand,8,2,39,60,0,1,1,47,0
58,2025-01-03 17:46:00,2025-01-03,17,Friday,2025-01,Afternoon,Clinica Medica B,Satelite A,Routine,Stock Check,12,2,42,60,0,1,1,63,0
59,2025-01-03 20:31:00,2025-01-03,20,Friday,2025-01,Night,UTI Adulto,Satelite A,Urgent,Normal Flow,17,2,43,60,0,1,1,53,0
60,2025-01-03 16:55:00,2025-01-03,16,Friday,2025-01,Afternoon,UTI Adulto,Urgencia,Urgent,High Demand,23,3,59,60,0,1,1,54,0
61,2025-01-03 12:22:00,2025-01-03,12,Friday,2025-01,Afternoon,Clinica Medica A,Satelite A,Routine,High Demand,15,2,48,60,0,1,1,54,0
62,2025-01-03 14:44:00,2025-01-03,14,Friday,2025-01,Afternoon,Clinica Medica B,Central,Routine,Staff Shortage,22,1,75,60,1,0,1,119,1
63,2025-01-03 10:41:00,2025-01-03,10,Friday,2025-01,Morning,Pronto Socorro,Satelite A,Routine,High Demand,38,1,66,60,1,0,1,82,1
64,2025-01-03 08:35:00,2025-01-03,8,Friday,2025-01,Morning,UTI Adulto,Satelite B,Stat,High Demand,20,2,58,60,0,1,1,68,0
65,2025-01-03 14:18:00,2025-01-03,14,Friday,2025-01,Afternoon,Clinica Medica B,Central,Routine,High Demand,8,1,44,60,0,1,1,57,0
66,2025-01-03 20:37:00,2025-01-03,20,Friday,2025-01,Night,Cirurgica II A,Central,Urgent,High Demand,24,3,63,60,1,0,1,74,0
67,2025-01-03 16:05:00,2025-01-03,16,Friday,2025-01,Afternoon,Ortopedia,Central,Stat,Normal Flow,14,2,49,60,0,1,1,72,0
68,2025-01-03 11:47:00,2025-01-03,11,Friday,2025-01,Morning,Cirurgica II A,Urgencia,Stat,Stock Check,14,2,50,60,0,1,1,88,1
69,2025-01-03 14:25:00,2025-01-03,14,Friday,2025-01,Afternoon,Cirurgica II B,Satelite B,Routine,High Demand,23,2,55,60,0,1,1,70,0
70,2025-01-03 19:58:00,2025-01-03,19,Friday,2025-01,Night,Pronto Socorro,Central,Stat,High Demand,23,2,51,60,0,1,1,46,0
71,2025-01-03 11:03:00,2025-01-03,11,Friday,2025-01,Morning,Pediatria,Satelite A,Routine,Normal Flow,12,3,33,60,0,1,1,46,0
72,2025-01-03 21:45:00,2025-01-03,21,Friday,2025-01,Night,Ortopedia,Central,Routine,High Demand,27,2,58,60,0,1,1,73,0
73,2025-01-03 07:57:00,2025-01-03,7,Friday,2025-01,Morning,UTI Adulto,Satelite B,Routine,High Demand,18,2,44,60,0,1,1,93,1
74,2025-01-03 18:34:00,2025-01-03,18,Friday,2025-01,Night,Clinica Medica B,Central,Urgent,Normal Flow,10,3,28,60,0,1,1,53,0
75,2025-01-03 17:39:00,2025-01-03,17,Friday,2025-01,Afternoon,UTI Adulto,Central,Stat,High Demand,17,3,53,60,0,1,1,82,1
76,2025-01-03 14:50:00,2025-01-03,14,Friday,2025-01,Afternoon,Cirurgica II B,Satelite B,Routine,High Demand,23,3,66,60,1,0,1,99,1
77,2025-01-03 16:26:00,2025-01-03,16,Friday,2025-01,Afternoon,Pronto Socorro,Satelite A,Routine,High Demand,16,1,54,60,0,1,1,65,0
78,2025-01-03 10:12:00,2025-01-03,10,Friday,2025-01,Morning,Cirurgica II B,Urgencia,Routine,Normal Flow,16,3,46,60,0,1,1,77,1
79,2025-01-03 12:59:00,2025-01-03,12,Friday,2025-01,Afternoon,Maternidade,Urgencia,Routine,Normal Flow,8,2,32,60,0,1,1,40,0
80,2025-01-03 07:49:00,2025-01-03,7,Friday,2025-01,Morning,Pronto Socorro,Central,Routine,Normal Flow,23,3,55,60,0,1,1,45,0
81,2025-01-03 22:16:00,2025-01-03,22,Friday,2025-01,Night,Maternidade,Urgencia,Urgent,Stock Check,11,4,37,60,0,1,1,60,0
82,2025-01-03 19:15:00,2025-01-03,19,Friday,2025-01,Night,Clinica Medica B,Central,Routine,Normal Flow,12,1,32,60,0,1,1,45,0
83,2025-01-03 18:15:00,2025-01-03,18,Friday,2025-01,Night,Oncologia,Satelite A,Urgent,High Demand,18,1,45,60,0,1,1,74,0
84,2025-01-03 17:24:00,2025-01-03,17,Friday,2025-01,Afternoon,Clinica Medica B,Urgencia,Stat,Staff Shortage,16,2,66,60,1,0,1,74,0
85,2025-01-03 16:17:00,2025-01-03,16,Friday,2025-01,Afternoon,Pediatria,Satelite B,Urgent,Normal Flow,15,1,53,60,0,1,1,79,1
86,2025-01-03 14:31:00,2025-01-03,14,Friday,2025-01,Afternoon,Cirurgica II A,Urgencia,Stat,High Demand,7,3,54,60,0,1,1,66,0
87,2025-01-03 09:48:00,2025-01-03,9,Friday,2025-01,Morning,Pediatria,Central,Routine,High Demand,12,3,41,60,0,1,1,57,0
88,2025-01-03 14:10:00,2025-01-03,14,Friday,2025-01,Afternoon,Maternidade,Satelite B,Urgent,Normal Flow,14,3,52,60,0,1,1,57,0
89,2025-01-04 17:54:00,2025-01-04,17,Saturday,2025-01,Afternoon,Cirurgica II B,Central,Routine,Staff Shortage,31,2,67,60,1,0,1,68,0
90,2025-01-04 20:57:00,2025-01-04,20,Saturday,2025-01,Night,Clinica Medica A,Urgencia,Routine,High Demand,26,3,65,60,1,0,1,73,0
91,2025-01-04 11:50:00,2025-01-04,11,Saturday,2025-01,Morning,Ortopedia,Central,Routine,System Delay,25,2,66,60,1,0,1,65,0
92,2025-01-04 08:40:00,2025-01-04,8,Saturday,2025-01,Morning,Ortopedia,Central,Routine,Stock Check,24,3,49,60,0,1,1,72,0
93,2025-01-04 09:44:00,2025-01-04,9,Saturday,2025-01,Morning,Ortopedia,Central,Routine,Stock Check,21,2,40,60,0,1,1,50,0
94,2025-01-04 12:27:00,2025-01-04,12,Saturday,2025-01,Afternoon,Clinica Medica A,Central,Routine,High Demand,24,1,54,60,0,1,1,63,0
95,2025-01-04 10:25:00,2025-01-04,10,Saturday,2025-01,Morning,Pronto Socorro,Satelite A,Routine,Normal Flow,15,3,37,60,0,1,1,59,0
96,2025-01-04 20:38:00,2025-01-04,20,Saturday,2025-01,Night,Clinica Medica B,Urgencia,Urgent,Normal Flow,24,3,41,60,0,1,1,51,0
97,2025-01-04 20:46:00,2025-01-04,20,Saturday,2025-01,Night,UTI Adulto,Satelite A,Urgent,High Demand,10,1,42,60,0,1,1,64,0
98,2025-01-04 16:18:00,2025-01-04,16,Saturday,2025-01,Afternoon,Cirurgica II B,Central,Routine,High Demand,8,3,42,60,0,1,1,70,0
99,2025-01-04 13:45:00,2025-01-04,13,Saturday,2025-01,Afternoon,Cirurgica II A,Central,Urgent,High Demand,24,3,51,60,0,1,1,78,1
100,2025-01-04 15:14:00,2025-01-04,15,Saturday,2025-01,Afternoon,Cirurgica II A,Central,Routine,High Demand,21,3,49,60,0,1,1,81,1
101,2025-01-04 17:27:00,2025-01-04,17,Saturday,2025-01,Afternoon,Clinica Medica A,Urgencia,Routine,Normal Flow,8,3,21,60,0,1,1,35,0
102,2025-01-04 13:15:00,2025-01-04,13,Saturday,2025-01,Afternoon,Pronto Socorro,Central,Stat,System Delay,28,2,64,60,1,0,1,95,1
103,2025-01-04 14:07:00,2025-01-04,14,Saturday,2025-01,Afternoon,UTI Adulto,Central,Routine,High Demand,22,2,75,60,1,0,1,75,0
104,2025-01-04 19:19:00,2025-01-04,19,Saturday,2025-01,Night,Pronto Socorro,Central,Urgent,High Demand,18,3,51,60,0,1,1,60,0
105,2025-01-04 15:57:00,2025-01-04,15,Saturday,2025-01,Afternoon,Clinica Medica B,Satelite B,Routine,Stock Check,13,2,61,60,1,0,1,69,0
106,2025-01-04 16:33:00,2025-01-04,16,Saturday,2025-01,Afternoon,Clinica Medica B,Satelite A,Routine,System Delay,21,2,68,60,1,0,1,57,0
107,2025-01-04 16:02:00,2025-01-04,16,Saturday,2025-01,Afternoon,Cirurgica II A,Satelite A,Urgent,Staff Shortage,16,1,70,60,1,0,1,86,1
108,2025-01-04 13:32:00,2025-01-04,13,Saturday,2025-01,Afternoon,Clinica Medica B,Central,Routine,Normal Flow,8,3,24,60,0,1,1,43,0
109,2025-01-04 10:01:00,2025-01-04,10,Saturday,2025-01,Morning,Clinica Medica B,Urgencia,Routine,Normal Flow,9,3,31,60,0,1,1,39,0
110,2025-01-04 13:29:00,2025-01-04,13,Saturday,2025-01,Afternoon,Clinica Medica A,Satelite A,Routine,Normal Flow,9,4,31,60,0,1,1,49,0
111,2025-01-05 17:31:00,2025-01-05,17,Sunday,2025-01,Afternoon,Clinica Medica B,Central,Urgent,High Demand,20,2,42,60,0,1,1,37,0
112,2025-01-05 19:17:00,2025-01-05,19,Sunday,2025-01,Night,Pronto Socorro,Satelite B,Routine,High Demand,22,3,49,60,0,1,1,73,0
113,2025-01-05 17:51:00,2025-01-05,17,Sunday,2025-01,Afternoon,Clinica Medica A,Urgencia,Routine,High Demand,11,1,63,60,1,0,1,97,1
114,2025-01-05 17:51:00,2025-01-05,17,Sunday,2025-01,Afternoon,UTI Adulto,Urgencia,Routine,High Demand,10,1,64,60,1,0,1,73,0
115,2025-01-05 18:31:00,2025-01-05,18,Sunday,2025-01,Night,Cirurgica II B,Urgencia,Urgent,Staff Shortage,24,3,58,60,0,1,1,58,0
116,2025-01-05 09:20:00,2025-01-05,9,Sunday,2025-01,Morning,Pronto Socorro,Satelite A,Stat,Stock Check,20,3,43,60,0,1,1,58,0
117,2025-01-05 17:34:00,2025-01-05,17,Sunday,2025-01,Afternoon,Oncologia,Satelite A,Routine,High Demand,13,2,49,60,0,1,1,57,0
118,2025-01-05 17:44:00,2025-01-05,17,Sunday,2025-01,Afternoon,Maternidade,Central,Urgent,High Demand,9,1,50,60,0,1,1,69,0
119,2025-01-05 17:28:00,2025-01-05,17,Sunday,2025-01,Afternoon,Clinica Medica B,Central,Urgent,Staff Shortage,20,1,73,60,1,0,1,84,1
120,2025-01-05 17:27:00,2025-01-05,17,Sunday,2025-01,Afternoon,Pronto Socorro,Central,Routine,High Demand,28,3,76,60,1,0,1,69,0
121,2025-01-05 16:44:00,2025-01-05,16,Sunday,2025-01,Afternoon,Cirurgica II A,Central,Routine,High Demand,12,4,48,60,0,1,1,59,0
122,2025-01-05 14:53:00,2025-01-05,14,Sunday,2025-01,Afternoon,Clinica Medica B,Central,Urgent,High Demand,16,3,38,60,0,1,1,49,0
123,2025-01-05 07:49:00,2025-01-05,7,Sunday,2025-01,Morning,Cirurgica II B,Central,Routine,High Demand,22,2,46,60,0,1,1,60,0
124,2025-01-05 12:58:00,2025-01-05,12,Sunday,2025-01,Afternoon,Cirurgica II B,Satelite A,Stat,System Delay,24,2,59,60,0,1,1,88,1
125,2025-01-05 17:40:00,2025-01-05,17,Sunday,2025-01,Afternoon,Pediatria,Central,Urgent,Normal Flow,11,4,36,60,0,1,1,45,0
126,2025-01-05 09:14:00,2025-01-05,9,Sunday,2025-01,Morning,Cirurgica II A,Urgencia,Urgent,Stock Check,20,2,47,60,0,1,1,94,1
127,2025-01-05 15:36:00,2025-01-05,15,Sunday,2025-01,Afternoon,Cirurgica II B,Satelite A,Urgent,High Demand,9,2,51,60,0,1,1,65,0
128,2025-01-05 10:40:00,2025-01-05,10,Sunday,2025-01,Morning,Clinica Medica B,Central,Routine,High Demand,15,2,43,60,0,1,1,52,0
129,2025-01-05 11:55:00,2025-01-05,11,Sunday,2025-01,Morning,Cirurgica II A,Central,Urgent,High Demand,25,2,51,60,0,1,1,47,0
130,2025-01-06 15:03:00,2025-01-06,15,Monday,2025-01,Afternoon,Cirurgica II B,Central,Routine,System Delay,29,3,67,60,1,0,1,66,0
131,2025-01-06 12:29:00,2025-01-06,12,Monday,2025-01,Afternoon,Cirurgica II B,Satelite A,Routine,Normal Flow,21,4,55,60,0,1,1,64,0
132,2025-01-06 13:03:00,2025-01-06,13,Monday,2025-01,Afternoon,Clinica Medica B,Central,Routine,High Demand,24,3,59,60,0,1,1,99,1
133,2025-01-06 08:34:00,2025-01-06,8,Monday,2025-01,Morning,Clinica Medica B,Central,Routine,High Demand,27,3,41,60,0,1,1,53,0
134,2025-01-06 16:05:00,2025-01-06,16,Monday,2025-01,Afternoon,Oncologia,Central,Urgent,High Demand,15,3,59,60,0,1,1,57,0
135,2025-01-06 09:35:00,2025-01-06,9,Monday,2025-01,Morning,Clinica Medica A,Urgencia,Routine,Normal Flow,12,2,35,60,0,1,1,56,0
136,2025-01-06 13:25:00,2025-01-06,13,Monday,2025-01,Afternoon,Cirurgica II A,Satelite A,Urgent,High Demand,28,4,53,60,0,1,1,47,0
137,2025-01-06 07:52:00,2025-01-06,7,Monday,2025-01,Morning,Oncologia,Central,Stat,Normal Flow,15,3,41,60,0,1,1,49,0
138,2025-01-06 13:00:00,2025-01-06,13,Monday,2025-01,Afternoon,Clinica Medica B,Satelite A,Routine,High Demand,20,2,50,60,0,1,1,60,0
139,2025-01-06 12:34:00,2025-01-06,12,Monday,2025-01,Afternoon,Clinica Medica B,Central,Urgent,High Demand,30,2,55,60,0,1,1,65,0
140,2025-01-06 16:48:00,2025-01-06,16,Monday,2025-01,Afternoon,Pronto Socorro,Satelite B,Urgent,Normal Flow,15,2,55,60,0,1,1,52,0
141,2025-01-06 14:23:00,2025-01-06,14,Monday,2025-01,Afternoon,Ortopedia,Central,Routine,High Demand,19,2,56,60,0,1,1,87,1
142,2025-01-06 09:37:00,2025-01-06,9,Monday,2025-01,Morning,Pronto Socorro,Satelite B,Stat,High Demand,16,3,59,60,0,1,1,79,1
143,2025-01-06 11:00:00,2025-01-06,11,Monday,2025-01,Morning,Clinica Medica A,Central,Urgent,High Demand,13,1,38,60,0,1,1,63,0
144,2025-01-06 10:04:00,2025-01-06,10,Monday,2025-01,Morning,Oncologia,Satelite A,Urgent,Normal Flow,18,3,35,60,0,1,1,58,0
145,2025-01-06 10:27:00,2025-01-06,10,Monday,2025-01,Morning,Clinica Medica A,Central,Stat,High Demand,15,3,39,60,0,1,1,78,1
146,2025-01-06 11:32:00,2025-01-06,11,Monday,2025-01,Morning,Cirurgica II B,Central,Routine,High Demand,16,1,51,60,0,1,1,52,0
147,2025-01-06 18:46:00,2025-01-06,18,Monday,2025-01,Night,Pediatria,Central,Urgent,Normal Flow,9,3,33,60,0,1,1,51,0
148,2025-01-06 06:58:00,2025-01-06,6,Monday,2025-01,Morning,Ortopedia,Urgencia,Urgent,Normal Flow,15,2,32,60,0,1,1,67,0
149,2025-01-06 09:56:00,2025-01-06,9,Monday,2025-01,Morning,Oncologia,Urgencia,Routine,High Demand,9,3,36,60,0,1,1,51,0
150,2025-01-06 14:39:00,2025-01-06,14,Monday,2025-01,Afternoon,Cirurgica II A,Central,Urgent,System Delay,29,1,65,60,1,0,1,79,1
151,2025-01-07 14:48:00,2025-01-07,14,Tuesday,2025-01,Afternoon,Cirurgica II B,Urgencia,Urgent,Normal Flow,11,1,51,60,0,1,1,81,1
152,2025-01-07 07:22:00,2025-01-07,7,Tuesday,2025-01,Morning,Pediatria,Central,Routine,Stock Check,15,2,47,60,0,1,1,62,0
153,2025-01-07 12:44:00,2025-01-07,12,Tuesday,2025-01,Afternoon,Cirurgica II B,Central,Routine,Normal Flow,17,2,40,60,0,1,1,42,0
154,2025-01-07 11:00:00,2025-01-07,11,Tuesday,2025-01,Morning,Pediatria,Central,Routine,Normal Flow,12,2,29,60,0,1,1,35,0
155,2025-01-07 12:20:00,2025-01-07,12,Tuesday,2025-01,Afternoon,Pediatria,Satelite B,Routine,Stock Check,10,2,36,60,0,1,1,65,0
156,2025-01-07 07:10:00,2025-01-07,7,Tuesday,2025-01,Morning,Cirurgica II A,Central,Routine,Stock Check,21,3,51,60,0,1,1,64,0
157,2025-01-07 18:45:00,2025-01-07,18,Tuesday,2025-01,Night,Oncologia,Satelite A,Routine,High Demand,15,2,37,60,0,1,1,70,0
158,2025-01-07 13:50:00,2025-01-07,13,Tuesday,2025-01,Afternoon,Pronto Socorro,Central,Routine,Staff Shortage,30,3,75,60,1,0,1,118,1
159,2025-01-07 08:15:00,2025-01-07,8,Tuesday,2025-01,Morning,Clinica Medica B,Satelite A,Urgent,Normal Flow,19,3,38,60,0,1,1,63,0
160,2025-01-07 13:34:00,2025-01-07,13,Tuesday,2025-01,Afternoon,UTI Adulto,Satelite B,Routine,High Demand,18,2,39,60,0,1,1,53,0
161,2025-01-07 16:38:00,2025-01-07,16,Tuesday,2025-01,Afternoon,Cirurgica II A,Central,Urgent,High Demand,12,1,60,60,0,1,1,101,1
162,2025-01-07 14:47:00,2025-01-07,14,Tuesday,2025-01,Afternoon,Clinica Medica A,Central,Routine,High Demand,24,1,77,60,1,0,1,84,1
163,2025-01-07 13:05:00,2025-01-07,13,Tuesday,2025-01,Afternoon,Oncologia,Central,Routine,Normal Flow,16,4,51,60,0,1,1,89,1
164,2025-01-07 12:44:00,2025-01-07,12,Tuesday,2025-01,Afternoon,Oncologia,Central,Stat,High Demand,11,2,41,60,0,1,1,50,0
165,2025-01-07 08:45:00,2025-01-07,8,Tuesday,2025-01,Morning,Clinica Medica A,Central,Routine,Normal Flow,7,2,40,60,0,1,1,57,0
166,2025-01-07 15:56:00,2025-01-07,15,Tuesday,2025-01,Afternoon,Clinica Medica A,Urgencia,Routine,High Demand,12,2,60,60,0,1,1,60,0
167,2025-01-07 16:40:00,2025-01-07,16,Tuesday,2025-01,Afternoon,UTI Adulto,Urgencia,Urgent,Normal Flow,17,2,49,60,0,1,1,75,0
168,2025-01-07 15:56:00,2025-01-07,15,Tuesday,2025-01,Afternoon,UTI Adulto,Central,Urgent,High Demand,11,2,55,60,0,1,1,64,0
169,2025-01-07 15:32:00,2025-01-07,15,Tuesday,2025-01,Afternoon,Cirurgica II B,Urgencia,Routine,High Demand,19,1,67,60,1,0,1,95,1
170,2025-01-07 15:11:00,2025-01-07,15,Tuesday,2025-01,Afternoon,UTI Adulto,Central,Urgent,High Demand,17,1,56,60,0,1,1,71,0
171,2025-01-07 18:34:00,2025-01-07,18,Tuesday,2025-01,Night,Pronto Socorro,Central,Routine,Normal Flow,15,1,34,60,0,1,1,57,0
172,2025-01-07 08:18:00,2025-01-07,8,Tuesday,2025-01,Morning,UTI Adulto,Central,Routine,Stock Check,27,2,43,60,0,1,1,64,0
